2020-12-11 09:08:09.308734||meta||agents||4
2020-12-11 09:08:09.308808||meta||treatnames||A (men's search)@|B (women's search)
2020-12-11 09:08:09.309146||meta||block_id start||0
2020-12-11 09:08:09.309164||meta||assignment||2@|0@|3@|1
2020-12-11 09:15:01.146039||treatment||visit page||https://www.google.com/search?source=hp&ei=zIzTX8evAcSltQa_hqmwBg&q=men%27s+shaving+kits&oq=men%27s+shaving+kits&gs_lcp=CgZwc3ktYWIQAzICCAAyAggAMgIIADIGCAAQFhAeMgYIABAWEB4yBggAEBYQHjIGCAAQFhAeMgYIABAWEB4yBggAEBYQHjIGCAAQFhAeOgUIABDJA1CyDliWFmDzJ2gAcAB4AIAB-g2IAYgrkgEHNi0xLjEuMpgBAKABAaoBB2d3cy13aXo&sclient=psy-ab&ved=0ahUKEwjHxZD5m8btAhXEUs0KHT9DCmYQ4dUDCAg&uact=5||0||0
2020-12-11 09:15:01.701451||treatment||visit page||https://www.schick.com/us/en/subscription-women||3||1
2020-12-11 09:15:10.894887||error||visiting||google searchresults||2||0
2020-12-11 09:15:19.586750||error||visiting||google searchresults||2||0
2020-12-11 09:15:27.680608||error||visiting||google searchresults||2||0
2020-12-11 09:15:30.924498||treatment||visit page||https://theartofshaving.com/kits-and-gifts-gift-ideas||0||0
2020-12-11 09:15:40.943296||treatment||visit page||https://www.marieclaire.com/beauty/g25096473/best-shampoo-and-conditioner-reviews/||1||1
2020-12-11 09:15:53.807213||treatment||google search||men's cocktails||2||0
2020-12-11 09:15:54.114074||error||visiting||google searchresults||2||0
2020-12-11 09:16:03.455017||treatment||visit page||https://allgirlshaveclub.com/||3||1
2020-12-11 09:16:10.526178||error||visiting||google searchresults||0||0
2020-12-11 09:16:16.695407||treatment||visit page||https://foodfornet.com/39-manly-mixed-drinks-for-manly-men/||2||0
2020-12-11 09:16:18.656229||error||visiting||google searchresults||0||0
2020-12-11 09:16:19.996770||treatment||google search||women's shaving kit||1||1
2020-12-11 09:16:20.086833||error||visiting||google searchresults||1||1
2020-12-11 09:16:39.973788||treatment||google search||men's cocktails||0||0
2020-12-11 09:16:40.210208||error||visiting||google searchresults||0||0
2020-12-11 09:16:45.119343||treatment||visit page||https://www.etsy.com/market/shaving_kit_women||1||1
2020-12-11 09:16:48.970777||treatment||google search||cocktails for women||3||1
2020-12-11 09:16:49.223144||error||visiting||google searchresults||3||1
2020-12-11 09:16:52.886145||treatment||visit page||https://www.thespruceeats.com/classic-cocktails-found-on-mad-men-759001||2||0
2020-12-11 09:17:03.203088||treatment||visit page||https://foodfornet.com/39-manly-mixed-drinks-for-manly-men/||0||0
2020-12-11 09:17:07.958369||treatment||visit page||https://vinepair.com/articles/50-most-popular-cocktails-world-2017/||3||1
2020-12-11 09:17:16.019646||treatment||visit page||https://theadultman.com/live-and-learn/manly-cocktails/||2||0
2020-12-11 09:17:21.425021||treatment||visit page||https://www.shopflamingo.com/products/shave-kit/||1||1
2020-12-11 09:17:46.740014||treatment||visit page||https://www.esquire.com/food-drink/g865/drinks-for-women-071511/||3||1
2020-12-11 09:17:51.900104||treatment||visit page||https://www.thespruceeats.com/classic-cocktails-found-on-mad-men-759001||0||0
2020-12-11 09:17:53.731018||treatment||visit page||https://www.schick.com/us/en/subscription-women||1||1
2020-12-11 09:18:11.711333||treatment||visit page||https://www.taste.com.au/entertaining/articles/12-classy-cocktails-for-a-girls-night/y1emvgvq?nk=f7d830326a7057737426cc9149ac0c4b-1607699887||3||1
2020-12-11 09:18:12.044653||treatment||visit page||https://www.mensjournal.com/food-drink/20-cocktail-recipes/||2||0
2020-12-11 09:18:20.403473||treatment||visit page||https://theadultman.com/live-and-learn/manly-cocktails/||0||0
2020-12-11 09:18:23.308951||treatment||visit page||https://allgirlshaveclub.com/||1||1
2020-12-11 09:18:50.108173||treatment||visit page||https://www.mensjournal.com/food-drink/20-cocktail-recipes/||0||0
2020-12-11 09:18:53.297372||event||progress-marker||training-end||2||0
2020-12-11 09:18:58.646330||treatment||visit page||https://www.marieclaire.com/food-cocktails/news/a13694/classic-cocktails-every-sophisticated-girl-should-know/||3||1
2020-12-11 09:19:02.132137||treatment||google search||cocktails for women||1||1
2020-12-11 09:19:02.193433||error||visiting||google searchresults||1||1
2020-12-11 09:19:08.814678||event||progress-marker||training-end||0||0
2020-12-11 09:19:09.411702||event||progress-marker||training-end||3||1
2020-12-11 09:19:33.804649||treatment||visit page||https://vinepair.com/articles/50-most-popular-cocktails-world-2017/||1||1
2020-12-11 09:19:49.039336||treatment||visit page||https://www.esquire.com/food-drink/g865/drinks-for-women-071511/||1||1
2020-12-11 09:20:18.656943||treatment||visit page||https://www.taste.com.au/entertaining/articles/12-classy-cocktails-for-a-girls-night/y1emvgvq||1||1
2020-12-11 09:20:34.807334||treatment||visit page||https://www.marieclaire.com/food-cocktails/news/a13694/classic-cocktails-every-sophisticated-girl-should-know/||1||1
2020-12-11 09:20:44.183970||event||progress-marker||training-end||1||1
2020-12-11 09:20:44.499446||event||progress-marker||measurement-start||3||1
2020-12-11 09:20:48.402490||event||progress-marker||measurement-start||2||0
2020-12-11 09:20:48.900771||event||progress-marker||measurement-start||0||0
2020-12-11 09:20:49.188486||event||progress-marker||measurement-start||1||1
2020-12-11 09:21:07.978812||measurement||ad||2020-12-11 09:20:50.188593@|search - what major should i study@|What should I major in? Major Quiz from Loyola University ...@|www.luc.edu@|What should I major in? Take the college major quiz from Loyola University Chicago and find your results to answer this question. BA in Environmental Policy · Education · Bioinformatics · Forensic Science||3||1
2020-12-11 09:21:08.584592||measurement||ad||2020-12-11 09:20:50.188593@|search - what major should i study@|Quiz: What should I major in? | Goshen College@|www.goshen.edu@|Jan 3, 2020 — We know that choosing a major can be difficult, with so many options and your many varied interests. If you're not sure what you want to study ... Psychology Major & Minor · Public Relations Major & Minor · Tesol · Film Production||3||1
2020-12-11 09:21:09.157884||measurement||ad||2020-12-11 09:20:50.188593@|search - what major should i study@|Quiz: What Should You Major In? - US News College Majors@|www.usnews.com@|Selecting a college major can be a difficult decision but it's not one you have to make on your own. Take our assessment to help determine what you should ...||3||1
2020-12-11 09:21:10.067062||measurement||ad||2020-12-11 09:20:50.188593@|search - what major should i study@|The Student's Guide to Choosing a Major - Best Colleges@|www.bestcolleges.com@|Nov 12, 2020 — Choosing a major field of study can be a difficult decision. In fact, 61% of college graduates would change their major if they could go back to ... Trends in College Majors · Choosing a Major ... · Choosing a Major: Personality||3||1
2020-12-11 09:21:10.415562||measurement||ad||2020-12-11 09:20:50.188593@|search - what major should i study@|Majors Quiz - Mount Marty@|www.mountmarty.edu@|Take this quiz to explore Your Major and Career options. ... Whatever you choose, Mount Marty knows you'll do great because we're here to support you.||3||1
2020-12-11 09:21:10.773356||measurement||ad||2020-12-11 09:20:50.188593@|search - what major should i study@|Quiz: What should your college major be? | Briar Cliff University@|www.briarcliff.edu@|Take this assessment quiz, designed to help you think about your personality and which college major(s) match your dream career. And remember — choosing ...||3||1
2020-12-11 09:21:11.060185||measurement||ad||2020-12-11 09:20:50.188593@|search - what major should i study@|What Should I Major In? (“What Major Is Right For Me”)@|www.arealme.com@|It's possible that more than one answer suits you, but always choose the one you like more. This test will assess which major fits you the best and offer some ...||3||1
2020-12-11 09:21:11.417178||measurement||ad||2020-12-11 09:20:50.188593@|search - what major should i study@|College Major Quiz - ThoughtCo@|www.thoughtco.com@|Oct 22, 2020 — What college major would best fit your personality? This test will help you ... I don't wait for someone to tell me what to do. Organizing things.||3||1
2020-12-11 09:21:11.715920||measurement||ad||2020-12-11 09:20:50.188593@|search - what major should i study@|Choose Your Major // Undergraduate Admissions // Marquette ...@|www.marquette.edu@|Quick! Aunt Zelda is approaching with that dreaded question: What are you going to do after graduation? Don't despair if you're still figuring out the answer ...||3||1
2020-12-11 09:21:12.090957||measurement||ad||2020-12-11 09:20:50.188593@|search - what major should i study@|Career test - What career should I have? - Education Abroad@|www.educations.com@|Mar 22, 2019 — This career test by educations.com is designed to help students find and study the right courses to achieve their educational and career goals.||3||1
2020-12-11 09:21:15.398401||measurement||ad||2020-12-11 09:20:54.382837@|search - pick a college@|10 Steps to Choosing the Right College | Best Colleges | US ...@|www.usnews.com||2||0
2020-12-11 09:21:15.990012||measurement||ad||2020-12-11 09:20:54.382837@|search - pick a college@|Finding Your College Fit | Getting Started with College Planning@|bigfuture.collegeboard.org@|There's no magic formula for choosing a college, but there are steps you can take to find a good fit. Use this tool to start your journey. Go ... How to Find a College That ... · College Search Step-By-Step · Quick Guide||2||0
2020-12-11 09:21:16.622665||measurement||ad||2020-12-11 09:20:54.382837@|search - pick a college@|Take Our College Quiz – Niche@|www.niche.com@|Start Your College Search. Trying to figure out what college you should go to? Choosing a college can be overwhelming. Thankfully Niche is here to help! Take ...||2||0
2020-12-11 09:21:17.093669||measurement||ad||2020-12-11 09:20:54.382837@|search - pick a college@|College Match | Find the right college with College Raptor@|www.collegeraptor.com@|Use College Raptor's college match tool to see and compare thousands of colleges based ... Strategies For Picking A College To Add To Your... college search.||2||0
2020-12-11 09:21:17.475881||measurement||ad||2020-12-11 09:20:55.945559@|search - pick a college@|10 Steps to Choosing the Right College | Best Colleges | US ...@|www.usnews.com||0||0
2020-12-11 09:21:17.643478||measurement||ad||2020-12-11 09:20:54.382837@|search - pick a college@|Top 15 Mistakes to Avoid in Choosing a College | Fastweb@|www.fastweb.com@|Jun 23, 2020 — Avoid these 15 most common mistakes students make in choosing colleges and you'll be on the path to your dream school in no time!||2||0
2020-12-11 09:21:18.111661||measurement||ad||2020-12-11 09:20:55.945559@|search - pick a college@|Finding Your College Fit | Getting Started with College Planning@|bigfuture.collegeboard.org@|There's no magic formula for choosing a college, but there are steps you can take to find a good fit. Use this tool to start your journey. Go ... How to Find a College That ... · College Search Step-By-Step · Quick Guide||0||0
2020-12-11 09:21:18.399458||measurement||ad||2020-12-11 09:20:54.382837@|search - pick a college@|Choosing a College | My Future | Types of Schools@|myfuture.com@|You know you want to go to college; now you have to pick one. Considering the thousands of schools out there, this can be a daunting task. Make it easier to find ...||2||0
2020-12-11 09:21:18.690156||measurement||ad||2020-12-11 09:20:55.945559@|search - pick a college@|Take Our College Quiz – Niche@|www.niche.com@|Start Your College Search. Trying to figure out what college you should go to? Choosing a college can be overwhelming. Thankfully Niche is here to help! Take ...||0||0
2020-12-11 09:21:18.790789||measurement||ad||2020-12-11 09:20:54.382837@|search - pick a college@|The COVID College Choice: How To Pick A College During A ...@|www.forbes.com@|Mar 17, 2020 — Campus closures at colleges and universities across the country are spreading as fast as the novel coronavirus itself. While higher education ...||2||0
2020-12-11 09:21:19.182275||measurement||ad||2020-12-11 09:20:54.382837@|search - pick a college@|College Match Quiz: Find Your Perfect College | Unigo@|www.unigo.com@|If this sounds familiar, the college match quiz offers a way to find out. There are over 6,000 colleges, universities and trade schools in the US. Choosing one can ...||2||0
2020-12-11 09:21:19.253040||measurement||ad||2020-12-11 09:20:55.945559@|search - pick a college@|College Match | Find the right college with College Raptor@|www.collegeraptor.com@|Use College Raptor's college match tool to see and compare thousands of colleges based ... Strategies For Picking A College To Add To Your... college search.||0||0
2020-12-11 09:21:19.538928||measurement||ad||2020-12-11 09:20:54.382837@|search - pick a college@|How To Choose A College That's Right For You : NPR@|www.npr.org@|Feb 21, 2007 — You don't need to pick a major to pick a college. Very few high-school students have enough information or experience to choose a major.||2||0
2020-12-11 09:21:19.952039||measurement||ad||2020-12-11 09:20:55.945559@|search - pick a college@|Top 15 Mistakes to Avoid in Choosing a College | Fastweb@|www.fastweb.com@|Jun 23, 2020 — Avoid these 15 most common mistakes students make in choosing colleges and you'll be on the path to your dream school in no time!||0||0
2020-12-11 09:21:20.379662||measurement||ad||2020-12-11 09:20:55.945559@|search - pick a college@|Choosing a College | My Future | Types of Schools@|myfuture.com@|You know you want to go to college; now you have to pick one. Considering the thousands of schools out there, this can be a daunting task. Make it easier to find ...||0||0
2020-12-11 09:21:20.868158||measurement||ad||2020-12-11 09:20:55.945559@|search - pick a college@|The COVID College Choice: How To Pick A College During A ...@|www.forbes.com@|Mar 17, 2020 — Campus closures at colleges and universities across the country are spreading as fast as the novel coronavirus itself. While higher education ...||0||0
2020-12-11 09:21:20.939878||measurement||ad||2020-12-11 09:20:54.382837@|search - pick a college@|How do I pick the right college for me? | College Scholarships ...@|www.collegescholarshipsusa.com@|Academic Expectations – Realistically with the students' academic background what type of colleges and universities are feasible? What major (degree ...||2||0
2020-12-11 09:21:20.990559||error||collecting ads||Error||3||1
2020-12-11 09:21:21.349488||measurement||ad||2020-12-11 09:20:55.945559@|search - pick a college@|College Match Quiz: Find Your Perfect College | Unigo@|www.unigo.com@|If this sounds familiar, the college match quiz offers a way to find out. There are over 6,000 colleges, universities and trade schools in the US. Choosing one can ...||0||0
2020-12-11 09:21:21.829439||measurement||ad||2020-12-11 09:20:55.945559@|search - pick a college@|How To Choose A College That's Right For You : NPR@|www.npr.org@|Feb 21, 2007 — You don't need to pick a major to pick a college. Very few high-school students have enough information or experience to choose a major.||0||0
2020-12-11 09:21:22.675210||measurement||ad||2020-12-11 09:20:55.945559@|search - pick a college@|How do I pick the right college for me? | College Scholarships ...@|www.collegescholarshipsusa.com@|Academic Expectations – Realistically with the students' academic background what type of colleges and universities are feasible? What major (degree ...||0||0
2020-12-11 09:21:23.190541||measurement||ad||2020-12-11 09:20:56.333750@|search - pick a college@|10 Steps to Choosing the Right College | Best Colleges | US ...@|https://www.usnews.com||1||1
2020-12-11 09:21:24.058346||measurement||ad||2020-12-11 09:20:56.333750@|search - pick a college@|Finding Your College Fit | Getting Started with College Planning@|https://bigfuture.collegeboard.org@|There's no magic formula for choosing a college, but there are steps you can take to find a good fit. Use this tool to start your journey. Go ... How to Find a College That ... · College Search Step-By-Step · Quick Guide||1||1
2020-12-11 09:21:24.489432||measurement||ad||2020-12-11 09:20:56.333750@|search - pick a college@|Take Our College Quiz – Niche@|https://www.niche.com@|Start Your College Search. Trying to figure out what college you should go to? Choosing a college can be overwhelming. Thankfully Niche is here to help! Take ...||1||1
2020-12-11 09:21:24.777563||measurement||ad||2020-12-11 09:20:56.333750@|search - pick a college@|College Match | Find the right college with College Raptor@|https://www.collegeraptor.com@|Use College Raptor's college match tool to see and compare thousands of colleges based ... Strategies For Picking A College To Add To Your... college search.||1||1
2020-12-11 09:21:25.091664||measurement||ad||2020-12-11 09:20:56.333750@|search - pick a college@|Top 15 Mistakes to Avoid in Choosing a College | Fastweb@|https://www.fastweb.com@|Jun 23, 2020 — Avoid these 15 most common mistakes students make in choosing colleges and you'll be on the path to your dream school in no time!||1||1
2020-12-11 09:21:25.476522||measurement||ad||2020-12-11 09:20:56.333750@|search - pick a college@|Choosing a College | My Future | Types of Schools@|http://myfuture.com@|You know you want to go to college; now you have to pick one. Considering the thousands of schools out there, this can be a daunting task. Make it easier to find ...||1||1
2020-12-11 09:21:25.831363||measurement||ad||2020-12-11 09:20:56.333750@|search - pick a college@|The COVID College Choice: How To Pick A College During A ...@|https://www.forbes.com@|Mar 17, 2020 — Campus closures at colleges and universities across the country are spreading as fast as the novel coronavirus itself. While higher education ...||1||1
2020-12-11 09:21:26.020963||measurement||ad||2020-12-11 09:20:55.945559@|ad - pick a college@|DeVry University - Degree Programs For Students@|Ad·www.devry.edu/(866) 605-2708Year-Round Class Offerings To Earn Your Degree On Your Schedule. Apply Today. Graduate Certificates. Accounting Degree. Tech Core. Nationwide Locations. Software Development. Bachelor Degree Programs. Medical Billing & Coding.Online Options · Health Sciences · Tech and Engineering · Campus Locations · MilitaryChoosing A College - Tips & AdviceAd·www.myfuture.com/Learn the Difference Types of Schools and What to Look for When Comparing Them. Explore Resources. Search Schools. Highlights: College Interview Tips Available, Campus Visiting Tips Available, Financial Aid Available.Your Best Fit - Custom College RankingsAd·www.niche.com/Choose what's most important to you and create your own college rankings. Choose from a dozen factors including dorms, party scene, academics, location, and more.2021 College Rankings · Top Liberal Arts Colleges · Top Public Universities||0||0
2020-12-11 09:21:26.427095||measurement||ad||2020-12-11 09:20:56.333750@|search - pick a college@|College Match Quiz: Find Your Perfect College | Unigo@|https://www.unigo.com@|If this sounds familiar, the college match quiz offers a way to find out. There are over 6,000 colleges, universities and trade schools in the US. Choosing one can ...||1||1
2020-12-11 09:21:27.238255||measurement||ad||2020-12-11 09:20:56.333750@|search - pick a college@|How To Choose A College That's Right For You : NPR@|https://www.npr.org@|Feb 21, 2007 — You don't need to pick a major to pick a college. Very few high-school students have enough information or experience to choose a major.||1||1
2020-12-11 09:21:27.461416||measurement||ad||2020-12-11 09:20:54.382837@|ad - pick a college@|Find a college for you - 2021 Rankings and Reviews@|Ad·www.niche.com/Explore rankings and reviews for 1,000+ colleges and universities.2021 College Rankings · Top Liberal Arts Colleges · Download Our Free App||2||0
2020-12-11 09:21:27.965223||measurement||ad||2020-12-11 09:20:56.333750@|search - pick a college@|How do I pick the right college for me? | College Scholarships ...@|https://www.collegescholarshipsusa.com@|Academic Expectations – Realistically with the students' academic background what type of colleges and universities are feasible? What major (degree ...||1||1
2020-12-11 09:21:54.564256||measurement||ad||2020-12-11 09:21:32.719490@|search - pick a college@|10 Steps to Choosing the Right College | Best Colleges | US ...@|www.usnews.com||3||1
2020-12-11 09:21:55.131897||measurement||ad||2020-12-11 09:21:32.719490@|search - pick a college@|Finding Your College Fit | Getting Started with College Planning@|bigfuture.collegeboard.org@|There's no magic formula for choosing a college, but there are steps you can take to find a good fit. Use this tool to start your journey. Go ... How to Find a College That ... · College Search Step-By-Step · Quick Guide||3||1
2020-12-11 09:21:55.255578||measurement||ad||2020-12-11 09:20:55.945559@|search - what major should i study@|What should I major in? Major Quiz from Loyola University ...@|www.luc.edu@|What should I major in? Take the college major quiz from Loyola University Chicago and find your results to answer this question. BA in Environmental Policy · Education · Bioinformatics · Forensic Science||0||0
2020-12-11 09:21:55.549908||measurement||ad||2020-12-11 09:21:32.719490@|search - pick a college@|Take Our College Quiz – Niche@|www.niche.com@|Start Your College Search. Trying to figure out what college you should go to? Choosing a college can be overwhelming. Thankfully Niche is here to help! Take ...||3||1
2020-12-11 09:21:55.752423||measurement||ad||2020-12-11 09:20:55.945559@|search - what major should i study@|Quiz: What should I major in? | Goshen College@|www.goshen.edu@|Jan 3, 2020 — We know that choosing a major can be difficult, with so many options and your many varied interests. If you're not sure what you want to study ... Psychology Major & Minor · Public Relations Major & Minor · Tesol · Film Production||0||0
2020-12-11 09:21:56.056167||measurement||ad||2020-12-11 09:20:55.945559@|search - what major should i study@|Quiz: What Should You Major In? - US News College Majors@|www.usnews.com@|Selecting a college major can be a difficult decision but it's not one you have to make on your own. Take our assessment to help determine what you should ...||0||0
2020-12-11 09:21:56.070592||measurement||ad||2020-12-11 09:21:32.719490@|search - pick a college@|College Match | Find the right college with College Raptor@|www.collegeraptor.com@|Use College Raptor's college match tool to see and compare thousands of colleges based ... Strategies For Picking A College To Add To Your... college search.||3||1
2020-12-11 09:21:56.428211||measurement||ad||2020-12-11 09:21:32.719490@|search - pick a college@|How to Choose a College: A Complete Guide - College Raptor@|www.collegeraptor.com@|Jul 31, 2020 — Choosing a college is a science and an art. You'll ... This is, perhaps, one reason that colleges will super score or choose your highest Critical ...||3||1
2020-12-11 09:21:56.531731||measurement||ad||2020-12-11 09:20:55.945559@|search - what major should i study@|The Student's Guide to Choosing a Major - Best Colleges@|www.bestcolleges.com@|Nov 12, 2020 — Choosing a major field of study can be a difficult decision. In fact, 61% of college graduates would change their major if they could go back to ... Trends in College Majors · Choosing a Major ... · Choosing a Major: Personality||0||0
